证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
510300,沪深300ETF,2012-05-28,2.1120,2.1590,2.1060,2.1560,--,--,"1,277,518,768","3,285,755,328"
510300,沪深300ETF,2012-05-29,2.1540,2.2030,2.1540,2.1890,0.0330,1.5305,"714,949,008","1,875,593,360"
510300,沪深300ETF,2012-05-30,2.1880,2.1920,2.1800,2.1830,-0.0066,-0.3015,"265,887,198","701,725,792"
510300,沪深300ETF,2012-05-31,2.1700,2.1900,2.1640,2.1780,-0.0048,-0.2199,"178,155,984","468,193,104"
510300,沪深300ETF,2012-06-01,2.1770,2.2030,2.1700,2.1780,0.0000,0.0000,"179,350,035","473,477,200"
510300,沪深300ETF,2012-06-04,2.1540,2.1560,2.1160,2.1180,-0.0596,-2.7368,"546,074,272","1,413,413,520"
510300,沪深300ETF,2012-06-05,2.1210,2.1300,2.1160,2.1210,0.0025,0.1180,"127,167,495","326,150,608"
510300,沪深300ETF,2012-06-06,2.1220,2.1310,2.1100,2.1190,-0.0018,-0.0849,"136,922,726","350,839,408"
510300,沪深300ETF,2012-06-07,2.1350,2.1390,2.1000,2.1060,-0.0132,-0.6230,"336,424,016","860,028,336"
510300,沪深300ETF,2012-06-08,2.1180,2.1200,2.0950,2.0980,-0.0072,-0.3419,"210,182,214","534,630,032"
510300,沪深300ETF,2012-06-11,2.1060,2.1340,2.1000,2.1230,0.0247,1.1771,"225,455,591","576,327,104"
510300,沪深300ETF,2012-06-12,2.1110,2.1210,2.1010,2.1100,-0.0133,-0.6264,"157,723,725","401,878,816"
510300,沪深300ETF,2012-06-13,2.1200,2.1430,2.1110,2.1410,0.0307,1.4551,"188,133,567","483,872,800"
510300,沪深300ETF,2012-06-14,2.1360,2.1510,2.1290,2.1310,-0.0092,-0.4298,"152,554,664","394,044,032"
510300,沪深300ETF,2012-06-15,2.1380,2.1480,2.1170,2.1400,0.0083,0.3894,"159,835,267","411,542,176"
510300,沪深300ETF,2012-06-18,2.1440,2.1600,2.1430,2.1460,0.0066,0.3085,"132,126,533","342,959,056"
510300,沪深300ETF,2012-06-19,2.1450,2.1450,2.1300,2.1300,-0.0159,-0.7408,"105,011,686","270,933,104"
510300,沪深300ETF,2012-06-20,2.1360,2.1420,2.1280,2.1280,-0.0023,-0.1080,"119,277,367","307,520,560"
510300,沪深300ETF,2012-06-21,2.1220,2.1230,2.0840,2.0950,-0.0333,-1.5648,"179,224,170","453,655,584"
